"PM","18","1","T","T",""
"KC","18","1","T","T",""
"PM","18","2","T","T",""
"KC","18","2","T","T",""
"PM","18","3","T","T",""
"KC","18","3","T","T",""
"PM","18","4","T","T",""
"KC","18","4","T","T",""
"PM","18","5","T","T",""
"KC","18","5","T","T",""
"PM","17","1","T","T",""
"KC","17","1","T","T",""
"PM","17","2","T","T",""
"KC","17","2","T","T",""
"PM","17","3","T","T",""
"KC","17","3","T","T",""
"PM","17","4","T","T",""
"KC","17","4","T","T",""
"PM","17","5","T","T",""
"KC","17","5","T","T",""

